title,min_order,company,min_price,max_price,rating,num_ratings
"IC.INTEGRATED CIRCUITS, MICROCONTROLLERS.ELECTRONIC COMPONENTS, IGBT TRANSISTORS.SOT23-5 BKA AD8615AUJZ AD8615AUJZ-REEL7",5.0,"Shenzhen Yukeda Electronics Co., Ltd.",0.03,0.1,5.0,54.0
Factory Price All in One PC 23.8 Inch Core I3 2nd Generations I5 I7 Office Desktop Computer for Business Home Office,2.0,"Shenzhen Manwei Brother Technology Co., Limited",85.0,129.0,4.9,26.0
JERTECH HG01 Wholesale Electronic Product Wired 3.5 USB Gamer Headset with MIC RGB HIFI PC Gaming Headphones for Computer,1.0,"Guangzhou Shanglong Electronic Technology Co., Ltd.",3.6,5.88,5.0,2.0
MysteryBox Electronics Surprise Explosion Smart Watch 4G SIM Slot Android Operated 5G Gift All Special Occasions Model 59 TK,1.0,"Shenzhen Cyber Blue Electronic Co., Ltd.",8.54,8.54,4.1,189.0
Electronics 3c Lucky New Festival Gift High Quality Smart Watch Mystery Box 100% Surprise Tft Display Waterproof Features,1.0,"Shenzhen Saiborui Technology Co., Ltd.",4.0,4.9,4.5,88.0
(SACOH Electronic Components)UCC27424P,10.0,"Shenzhen Sacoh Electronic Co., Ltd.",0.02,0.02,4.9,118.0
Electronics 3C Lucky New Festival Gift High Quality Smart Watch Mystery Box 100% Surprise TFT Display Waterproof Features,1.0,"Shenzhen Yueqian Mofang Trading Co., Ltd.",4.9,4.9,3.7,385.0
PA1000 Electronics Product Professional Arranger with Touchscreen Speakers Keyboard Professional Arranger Best Quality Pa1000,1.0,"Hunan Zhongchuang Xinyuan Electronic Commerce Technology Co., Ltd.",2419.0,2429.0,4.6,46.0
Super Electronics Headsets A6S TWS BT Earphone PK Redmi Airdots Wireless BT 5.0 Airbuds Ear for Iphone Xiaomi PC,1.0,"Shenzhen Smart Concept Electronics Co., Ltd.",1.57,2.09,4.7,25.0
Factory YG300 4k HD Salange J9pro Portable Projector Mini Beam Pocket Mobile Home Video Projector Kids Story Projector,2.0,"Suzhou Huizhide Glass Material Technology Co., Ltd.",8.39,8.69,4.7,4.0
